store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
2570905277901393,0.0,0.0,88.08623278166665,60.0,23.983333333333334,79.79710055166667
661729644146196174,0.0,7.5,52.5,0.0,0.0,0.0
6249876597955342114,0.0,0.0,54.39005966027779,0.0,13.0,34.10994033972222
7768174223542700582,0.0,9.5,97.49944444444442,0.0,0.0,0.0
2553026167140866279,0.0,0.0,0.0,60.0,23.99972222222222,167.99805555555562
5895564134639597558,60.0,23.983333333333334,167.8833333333333,0.0,0.0,0.0
333363422900954809,0.0,17.129885908333332,64.99972222222223,0.0,0.0,0.0
4693637493564153627,60.0,23.999722222222225,167.9980555555556,0.0,0.0,0.0
6051894398527920554,0.0,0.0,0.0,0.0,10.75,75.25
6664829370089852832,60.0,23.983333333333334,167.88333333333335,0.0,0.0,0.0
2748521691947363007,60.0,23.99972222222222,97.49944444444445,0.0,0.0,0.0
8953735298103643040,0.0,2.25,58.25,0.0,0.0,0.0
173113714660183551,0.0,12.983333333333333,89.93277777777779,0.0,0.0,0.0
88712362375492389,52.194452283333334,14.500000000000002,101.49999999999999,0.0,0.0,0.0
4719972728854018114,0.0,0.0,30.0,0.0,15.0,75.0
3462642174893941130,0.0,8.0,59.966666666666654,0.0,0.0,0.0
4673345508642716615,0.0,12.75,89.25,0.0,0.0,0.0
8327213538766212329,0.0,7.5,49.5,0.0,0.0,0.0
5936556927098544256,0.0,0.0,0.0,0.0,12.999722222222223,89.99833333333335
4431871921206607229,52.19716115000001,17.983333333333334,125.8833333333333,0.0,0.0,0.0
2679675312292748904,0.0,6.999722222222222,48.99805555555557,0.0,0.0,0.0
4269406445495616695,0.0,10.0,70.0,0.0,0.0,0.0
6969460231274019322,60.0,23.983333333333334,167.88333333333333,0.0,0.0,0.0
6749596235217042231,52.199213183333335,11.999999999999998,81.99999999999999,0.0,0.0,0.0
3120753499686608366,52.199761849999994,17.983333333333334,125.88333333333335,0.0,0.0,0.0
2122106254842683408,60.0,23.999722222222218,167.9980555555555,0.0,0.0,0.0
5364955102101247665,0.0,11.0,77.0,0.0,0.0,0.0
1914111996505024417,0.0,0.0,66.9376206286111,0.0,16.983333333333334,51.945712704722226
6841048427396532172,0.0,9.0,46.054996212499994,0.0,0.0,16.9450037875
1220550210476923687,0.0,0.0,18.0,0.0,6.0,24.0
4642987716824697581,0.0,16.99972222222222,118.9980555555556,0.0,0.0,0.0
5017903408473168479,0.0,0.0,0.0,0.0,12.0,84.0
821097264726623470,52.20364601666667,13.0,85.00000000000001,0.0,0.0,0.0
4198224517543875829,52.20425645,13.5,88.5,0.0,0.0,0.0
3225796639170927,60.0,23.983333333333334,161.88333333333333,0.0,0.0,0.0
6582067659204257378,60.0,23.99972222222222,167.99805555555557,0.0,0.0,0.0
4783594666522589213,0.0,13.499722222222223,94.49805555555555,0.0,0.0,0.0
323473244543441503,0.0,10.0,87.99972222222223,0.0,0.0,0.0
5423470511331929821,0.0,16.983333333333334,118.8833333333333,0.0,0.0,0.0
3500407969901538410,0.0,0.0,0.0,52.20733501666667,17.99972222222222,125.99805555555555
5162263495152967997,52.207988766666666,15.0,104.99999999999999,0.0,0.0,0.0
7108781495509291260,0.0,10.5,75.50000000000001,0.0,0.0,0.0
8592041492120976517,60.0,23.916666666666668,167.41666666666663,0.0,0.0,0.0
4336282380827325195,0.0,12.983333333333333,80.91997762055556,0.0,0.0,9.012800157222221
8473875410797030564,0.0,0.0,0.0,0.0,12.0,85.96666666666667
3954691186481771863,0.0,0.0,30.0,0.0,15.0,75.0
8573639482087931507,0.0,12.999722222222223,90.99805555555557,0.0,0.0,0.0
33890589481707677,0.0,0.0,37.908383532222224,0.0,7.0,14.09161646777778
4620225145700168337,60.0,23.983333333333334,167.88333333333333,0.0,0.0,0.0
1345284171498448166,0.0,10.0,72.0,0.0,0.0,0.0
4374942605696419037,0.0,9.0,63.00000000000001,0.0,0.0,0.0
3618619258749298337,0.0,11.75,81.25,0.0,0.0,0.0
2990324124305421338,52.21410675,16.000000000000004,112.0,0.0,0.0,0.0
6432476797932890100,60.0,23.99972222222222,159.99833333333336,0.0,0.0,0.0
4763394574310091443,0.0,0.0,14.0,0.0,6.5,33.49999999999999
2200912934182660929,52.21565916666667,17.99972222222222,125.99805555555558,0.0,0.0,0.0
2245630723285366786,52.21622321666667,16.0,111.99999999999999,0.0,0.0,0.0
3354046570648126399,0.0,0.0,0.0,0.0,13.999722222222223,97.99805555555558
2377192312946375685,0.0,0.0,0.0,0.0,16.0,111.99999999999997
7097950983980412117,60.0,23.99972222222222,167.9980555555556,0.0,0.0,0.0
613383767229509662,0.0,13.483333333333333,91.9,0.0,0.0,0.0
1993442904407777631,52.21878528333333,13.999999999999998,98.0,0.0,0.0,0.0
5148120740979132855,0.0,13.499722222222223,94.49805555555557,0.0,0.0,0.0
7910873620393430408,60.0,23.99972222222222,147.98657943527783,0.0,0.0,20.01147612027778
3762593301164264081,0.0,0.0,0.0,60.0,23.99972222222222,167.9980555555556
7316973416375787617,0.0,9.0,63.000000000000014,0.0,0.0,0.0
6153968559027405656,0.0,13.483333333333333,94.38333333333334,0.0,0.0,0.0
6696645179627815166,60.0,23.999722222222218,167.9980555555555,0.0,0.0,0.0
6343940791149527184,0.0,7.983333333333333,55.88333333333333,0.0,0.0,0.0
6911269942365915808,0.0,13.0,91.0,0.0,0.0,0.0
7015690087265433180,0.0,0.0,0.0,60.0,23.983333333333334,167.88333333333335
4369968060458956067,0.0,11.0,78.0,0.0,0.0,0.0
5776995389621940887,60.0,23.98333333333333,160.39999999999998,0.0,0.0,0.0
3522315831688498235,0.0,0.0,47.517201956111116,0.0,9.5,34.48252026611111
